host,ip,port,country,org
43.159.113.44:111,43.159.113.44,111,SG,ACE
43.175.212.72:111,43.175.212.72,111,SG,ACE
43.175.251.163:10,43.175.251.163,10,SG,ACE
43.170.2.52:88,43.170.2.52,88,SG,
https://139.162.8.21:50443,139.162.8.21,50443,SG,Akamai Connected Cloud
https://45.127.34.182:441,45.127.34.182,441,SG,Dromatics Systems Pte Ltd
https://47.236.70.99:40000,47.236.70.99,40000,SG,"Alibaba US Technology Co., Ltd."
43.175.218.72:111,43.175.218.72,111,SG,ACE
43.175.216.72:111,43.175.216.72,111,SG,ACE
https://43.164.134.161:88,43.164.134.161,88,SG,"Tencent Building, Kejizhongyi Avenue"
43.174.44.222:25,43.174.44.222,25,SG,ACE
https://5.34.176.119:81,5.34.176.119,81,SG,Green Floid LLC
43.174.34.223:25,43.174.34.223,25,SG,ACE
https://129.226.217.81:8085,129.226.217.81,8085,SG,"Tencent Building, Kejizhongyi Avenue"
https://138.2.78.85:12320,138.2.78.85,12320,SG,ORACLE-BMC-31898
https://139.162.8.21:993,139.162.8.21,993,SG,Akamai Connected Cloud
https://139.162.8.21:444,139.162.8.21,444,SG,Akamai Connected Cloud
https://139.59.101.255:8086,139.59.101.255,8086,SG,DIGITALOCEAN-ASN
https://168.138.176.115:6666,168.138.176.115,6666,SG,ORACLE-BMC-31898
https://www.vibuan.com:20000,207.148.78.63,20000,SG,AS-VULTR
https://vibuan.com:20000,207.148.78.63,20000,SG,AS-VULTR
111.119.247.89:19999,111.119.247.89,19999,SG,HUAWEI CLOUDS
https://101.46.11.217:30000,101.46.11.217,30000,SG,HUAWEI CLOUDS
https://138.2.107.0:9527,138.2.107.0,9527,SG,ORACLE-BMC-31898
https://20.6.104.245:10000,20.6.104.245,10000,SG,MICROSOFT-CORP-MSN-AS-BLOCK
https://111.119.239.179:30000,111.119.239.179,30000,SG,HUAWEI CLOUDS
https://122.248.240.160:50001,122.248.240.160,50001,SG,AMAZON-02
https://210.16.122.152:8003,210.16.122.152,8003,SG,Liberally Network LLC
https://167.172.88.191:444,167.172.88.191,444,SG,DIGITALOCEAN-ASN
47.245.123.224:9090,47.245.123.224,9090,SG,"Alibaba US Technology Co., Ltd."
https://43.100.17.137:10001,43.100.17.137,10001,SG,"Alibaba US Technology Co., Ltd."
43.175.250.169:10,43.175.250.169,10,SG,ACE
https://207.148.78.63:20000,207.148.78.63,20000,SG,AS-VULTR
https://43.159.33.39:3389,43.159.33.39,3389,SG,"Tencent Building, Kejizhongyi Avenue"
https://20.198.248.244:20000,20.198.248.244,20000,SG,MICROSOFT-CORP-MSN-AS-BLOCK
https://27.106.109.221:12345,27.106.109.221,12345,SG,HUAWEI CLOUDS
https://45.77.41.197:8088,45.77.41.197,8088,SG,AS-VULTR
https://45.194.18.18:20000,45.194.18.18,20000,SG,NEBULA-GLOBAL
https://185.36.192.177:1111,185.36.192.177,1111,SG,Akari Networks
https://43.100.73.48:10384,43.100.73.48,10384,SG,"Alibaba US Technology Co., Ltd."
https://103.214.23.221:18888,103.214.23.221,18888,SG,HOSTHATCH
https://43.133.44.39:10001,43.133.44.39,10001,SG,"Tencent Building, Kejizhongyi Avenue"
https://124.243.144.69:30000,124.243.144.69,30000,SG,HUAWEI CLOUDS
https://8.219.243.43:10000,8.219.243.43,10000,SG,"Alibaba US Technology Co., Ltd."
https://45.43.63.39:9999,45.43.63.39,9999,SG,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
https://152.32.218.136:10002,152.32.218.136,10002,SG,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
https://192.53.172.74:10443,192.53.172.74,10443,SG,Akamai Connected Cloud
https://168.138.169.46:10001,168.138.169.46,10001,SG,ORACLE-BMC-31898
https://43.156.229.49:7443,43.156.229.49,7443,SG,"Tencent Building, Kejizhongyi Avenue"
https://152.69.219.187:1550,152.69.219.187,1550,SG,ORACLE-BMC-31898
https://189.1.242.203:32754,189.1.242.203,32754,SG,HUAWEI CLOUDS
https://167.172.88.191:993,167.172.88.191,993,SG,DIGITALOCEAN-ASN
https://66.42.55.224:8888,66.42.55.224,8888,SG,AS-VULTR
https://129.150.46.158:9527,129.150.46.158,9527,SG,ORACLE-BMC-31898
https://43.174.39.205:8888,43.174.39.205,8888,SG,ACE
https://43.165.62.56:16676,43.165.62.56,16676,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.159.44.49:10000,43.159.44.49,10000,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.164.135.253:2443,43.164.135.253,2443,SG,"Tencent Building, Kejizhongyi Avenue"
https://168.138.174.145:3443,168.138.174.145,3443,SG,ORACLE-BMC-31898
https://194.233.80.57:8386,194.233.80.57,8386,SG,Contabo Asia Private Limited
https://45.127.34.28:30003,45.127.34.28,30003,SG,Dromatics Systems Pte Ltd
https://45.127.34.104:45678,45.127.34.104,45678,SG,Dromatics Systems Pte Ltd
https://tpx.choitetga.com:9443,47.128.222.104,9443,SG,AMAZON-02
https://43.156.74.14:34567,43.156.74.14,34567,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.165.62.56:10016,43.165.62.56,10016,SG,"Tencent Building, Kejizhongyi Avenue"
