# 综合最优代理列表（按综合评分排序）
# 格式: IP:端口 延迟(ms) 下载速度(原始值) 综合评分
############################################################
153.92.127.26:443 305ms 0 kB/s 50.85
193.180.213.29:443 322ms 0 kB/s 50.34
91.108.242.85:443 323ms 0 kB/s 50.31
193.181.213.217:443 324ms 0 kB/s 50.28
193.180.215.69:443 326ms 0 kB/s 50.22
83.219.243.50:443 326ms 0 kB/s 50.22
5.178.109.158:443 328ms 0 kB/s 50.16
46.246.92.219:443 328ms 0 kB/s 50.16
192.145.30.27:443 328ms 0 kB/s 50.16
80.78.19.185:443 330ms 0 kB/s 50.1
