# 综合最优代理列表（按综合评分排序）
# 格式: IP:端口 延迟(ms) 下载速度(原始值) 综合评分
############################################################
163.61.207.74:443 182ms 0 kB/s 54.54
38.47.126.125:443 201ms 0 kB/s 53.97
45.128.220.81:443 270ms 0 kB/s 51.9
45.149.92.67:443 272ms 0 kB/s 51.84
64.49.44.103:443 273ms 0 kB/s 51.81
178.173.248.64:443 273ms 0 kB/s 51.81
154.16.183.190:443 275ms 0 kB/s 51.75
143.14.189.132:443 276ms 0 kB/s 51.72
198.20.133.32:443 277ms 0 kB/s 51.69
103.192.179.176:443 279ms 0 kB/s 51.63
