============================================================
代理检测报告 - 2026-03-25 15:55:30.674292
检测文件: asse/iptest_asse.txt
检测时间: 2026-03-25 15:55:30
============================================================
总计检测: 161
成功: 159
失败: 2
超时: 0
成功率: 98.8%

可用代理 (按平均响应时间排序):
89.22.225.100:443#414ms (范围: 406ms-422ms)
91.186.218.231:443#414ms (范围: 397ms-424ms)
147.45.75.140:443#415ms (范围: 403ms-438ms)
213.21.233.200:443#416ms (范围: 376ms-453ms)
62.60.231.190:443#417ms (范围: 401ms-442ms)
62.60.231.160:443#417ms (范围: 414ms-422ms)
77.221.137.141:443#417ms (范围: 409ms-425ms)
46.226.160.82:443#418ms (范围: 381ms-455ms)
77.221.139.229:443#418ms (范围: 387ms-457ms)
77.221.141.146:443#418ms (范围: 408ms-430ms)
95.85.241.113:443#418ms (范围: 407ms-426ms)
148.253.211.157:443#418ms (范围: 404ms-439ms)
91.223.169.237:443#419ms (范围: 399ms-444ms)
91.184.240.196:443#420ms (范围: 413ms-428ms)
95.85.241.121:443#420ms (范围: 414ms-426ms)
89.22.225.114:443#421ms (范围: 404ms-436ms)
213.165.35.199:443#421ms (范围: 410ms-435ms)
148.253.211.237:443#421ms (范围: 418ms-427ms)
89.22.239.167:443#422ms (范围: 422ms-422ms)
213.21.251.234:443#424ms (范围: 419ms-429ms)
89.22.226.53:443#426ms (范围: 403ms-454ms)
89.169.32.89:443#426ms (范围: 420ms-436ms)
213.21.252.159:443#429ms (范围: 401ms-454ms)
89.22.224.103:443#430ms (范围: 405ms-448ms)
77.91.85.191:443#432ms (范围: 420ms-452ms)
159.194.197.117:443#434ms (范围: 400ms-455ms)
193.188.20.224:443#435ms (范围: 434ms-436ms)
84.22.148.189:443#435ms (范围: 417ms-466ms)
77.91.85.85:443#440ms (范围: 434ms-447ms)
77.232.143.218:443#440ms (范围: 411ms-463ms)
84.22.148.114:443#443ms (范围: 403ms-488ms)
109.120.155.88:443#447ms (范围: 446ms-451ms)
77.91.85.172:443#457ms (范围: 445ms-478ms)
62.60.253.89:443#483ms (范围: 455ms-508ms)
77.91.84.125:443#484ms (范围: 472ms-498ms)
89.22.231.148:443#501ms (范围: 426ms-641ms)
64.188.81.193:443#508ms (范围: 440ms-639ms)
91.186.219.191:443#675ms (范围: 675ms-675ms)
138.124.49.137:443#687ms (范围: 677ms-699ms)
91.184.241.243:443#689ms (范围: 680ms-700ms)
91.186.217.53:443#690ms (范围: 675ms-721ms)
89.169.32.29:443#699ms (范围: 684ms-717ms)
45.80.229.176:443#705ms (范围: 700ms-716ms)
91.184.240.228:443#718ms (范围: 688ms-755ms)
45.80.228.227:443#725ms (范围: 703ms-750ms)
77.221.139.220:443#734ms (范围: 716ms-746ms)
