# 综合最优代理列表（按综合评分排序）
# 格式: IP:端口 延迟(ms) 下载速度(原始值) 综合评分
############################################################
64.49.28.190:443 12ms 0 kB/s 59.64
167.253.153.214:443 264ms 0 kB/s 52.08
167.253.153.253:443 264ms 0 kB/s 52.08
167.253.153.47:443 264ms 0 kB/s 52.08
167.253.153.32:443 264ms 0 kB/s 52.08
167.253.153.108:443 265ms 0 kB/s 52.05
167.253.153.147:443 266ms 0 kB/s 52.02
167.253.153.228:443 266ms 0 kB/s 52.02
167.253.153.44:443 266ms 0 kB/s 52.02
167.253.153.163:443 266ms 0 kB/s 52.02
